"","TS","N Execution"
"1",1574757061.412,2
"2",1574757076.412,8
"3",1574757091.412,4
"4",1574757106.412,1
"5",1574757121.412,12
"6",1574757136.412,6
"7",1574757151.412,8
"8",1574757166.412,11
"9",1574757181.412,7
"10",1574757196.412,4
"11",1574757211.412,9
"12",1574757226.412,10
"13",1574757241.412,4
"14",1574757256.412,5
"15",1574757271.412,7
"16",1574757286.412,5
"17",1574757301.412,8
"18",1574757316.412,6
"19",1574757331.412,4
"20",1574757346.412,13
"21",1574757361.412,5
"22",1574757376.412,8
"23",1574757391.412,6
"24",1574757406.412,14
"25",1574757421.412,10
"26",1574757436.412,8
"27",1574757451.412,14
"28",1574757466.412,5
"29",1574757481.412,9
"30",1574757496.412,9
"31",1574757511.412,4
"32",1574757526.412,17
"33",1574757541.412,5
"34",1574757556.412,7
"35",1574757571.412,8
"36",1574757586.412,5
"37",1574757601.412,5
"38",1574757616.412,7
"39",1574757631.412,5
"40",1574757646.412,8
"41",1574757661.412,6
"42",1574757676.412,13
"43",1574757691.412,8
"44",1574757706.412,5
"45",1574757721.412,6
"46",1574757736.412,0
"47",1574757751.412,2
"48",1574757766.412,5
"49",1574757781.412,1
"50",1574757796.412,0
"51",1574757811.412,0
"52",1574757826.412,0
"53",1574757841.412,0
"54",1574757856.412,0
"55",1574757871.412,0
"56",1574757886.412,0
"57",1574757901.412,1
"58",1574757916.412,1
"59",1574757931.412,1
