"","TS","N Execution"
"1",1574178788.812,57
"2",1574178803.812,52
"3",1574178818.812,51
"4",1574178833.812,52
"5",1574178848.812,55
"6",1574178863.812,58
"7",1574178878.812,50
"8",1574178893.812,59
"9",1574178908.812,46
"10",1574178923.812,43
"11",1574178938.812,62
"12",1574178953.812,55
"13",1574178968.812,59
"14",1574178983.812,61
"15",1574178998.812,57
"16",1574179013.812,60
"17",1574179028.812,49
"18",1574179043.812,63
"19",1574179058.812,56
"20",1574179073.812,46
"21",1574179088.812,61
"22",1574179103.812,54
"23",1574179118.812,51
"24",1574179133.812,60
"25",1574179148.812,56
"26",1574179163.812,57
"27",1574179178.812,51
"28",1574179193.812,61
"29",1574179208.812,51
"30",1574179223.812,46
"31",1574179238.812,61
"32",1574179253.812,56
"33",1574179268.812,50
"34",1574179283.812,58
"35",1574179298.812,59
"36",1574179313.812,62
"37",1574179328.812,49
"38",1574179343.812,58
"39",1574179358.812,56
"40",1574179373.812,42
