"","TS","throughput"
"1",1574086518.278,1.46666666666667
"2",1574086533.278,0.6
"3",1574086548.278,0.866666666666667
"4",1574086563.278,0.666666666666667
"5",1574086578.278,1
"6",1574086593.278,0.666666666666667
"7",1574086608.278,0.333333333333333
"8",1574086623.278,0.533333333333333
"9",1574086638.278,0.866666666666667
"10",1574086653.278,0.933333333333333
"11",1574086668.278,1.06666666666667
"12",1574086683.278,0.4
"13",1574086698.278,1.33333333333333
"14",1574086713.278,0.6
"15",1574086728.278,1.06666666666667
"16",1574086743.278,0.666666666666667
"17",1574086758.278,0.333333333333333
"18",1574086773.278,0.666666666666667
"19",1574086788.278,0.8
"20",1574086803.278,0.733333333333333
"21",1574086818.278,1
"22",1574086833.278,0.466666666666667
"23",1574086848.278,1.13333333333333
"24",1574086863.278,0.6
"25",1574086878.278,1
"26",1574086893.278,0.533333333333333
"27",1574086908.278,0.466666666666667
"28",1574086923.278,0.6
"29",1574086938.278,0.8
"30",1574086953.278,0.0666666666666667
