"","TS","N Execution"
"1",1574178788.616,57
"2",1574178803.616,51
"3",1574178818.616,52
"4",1574178833.616,52
"5",1574178848.616,55
"6",1574178863.616,56
"7",1574178878.616,50
"8",1574178893.616,61
"9",1574178908.616,46
"10",1574178923.616,43
"11",1574178938.616,61
"12",1574178953.616,56
"13",1574178968.616,59
"14",1574178983.616,60
"15",1574178998.616,58
"16",1574179013.616,59
"17",1574179028.616,49
"18",1574179043.616,64
"19",1574179058.616,56
"20",1574179073.616,45
"21",1574179088.616,62
"22",1574179103.616,54
"23",1574179118.616,51
"24",1574179133.616,59
"25",1574179148.616,57
"26",1574179163.616,57
"27",1574179178.616,51
"28",1574179193.616,61
"29",1574179208.616,51
"30",1574179223.616,46
"31",1574179238.616,61
"32",1574179253.616,55
"33",1574179268.616,50
"34",1574179283.616,59
"35",1574179298.616,58
"36",1574179313.616,63
"37",1574179328.616,50
"38",1574179343.616,57
"39",1574179358.616,55
"40",1574179373.616,43
