% TimeStamp, Sample No, X-Axis, Y-Axis, Z-Axis, Sensor Type, Sensor ID
195,0,-0.8486328125,-0.423583984375,0.270263671875,0,3
312,1,-0.8447265625,-0.4111328125,0.27197265625,0,3
425,2,-0.9052734375,-0.455078125,0.265380859375,0,3
484,3,-0.848388671875,-0.46337890625,0.26220703125,0,3
568,4,-0.8525390625,-0.462158203125,0.26025390625,0,3
643,5,-0.84814453125,-0.461181640625,0.2578125,0,3
686,6,-0.848876953125,-0.456298828125,0.261474609375,0,3
707,7,-0.848876953125,-0.456298828125,0.261474609375,0,3
727,8,-0.853515625,-0.445556640625,0.262939453125,0,3
742,9,-0.853515625,-0.445556640625,0.262939453125,0,3
811,10,-0.90380859375,-0.438720703125,0.229736328125,0,3
872,11,-0.894775390625,-0.45556640625,0.22607421875,0,3
980,12,-0.845947265625,-0.458740234375,0.226806640625,0,3
1031,13,-0.860107421875,-0.44091796875,0.222412109375,0,3
1072,14,-0.902587890625,-0.455078125,0.271240234375,0,3
1082,15,-0.902587890625,-0.455078125,0.271240234375,0,3
1099,16,-0.902587890625,-0.455078125,0.271240234375,0,3
1219,17,-0.8525390625,-0.44775390625,0.162109375,0,3
1338,18,-0.85107421875,-0.36572265625,0.178466796875,0,3
1434,19,-0.848388671875,-0.452880859375,0.25341796875,0,3
1483,20,-0.892578125,-0.41943359375,0.251708984375,0,3
1519,21,-0.836669921875,-0.47705078125,0.1875,0,3
1544,22,-0.7265625,-0.688720703125,0.187255859375,0,3
1597,23,-0.82861328125,-0.68359375,0.260986328125,0,3
1668,24,-0.897705078125,-0.75146484375,0.264404296875,0,3
1741,25,-0.899658203125,-0.5517578125,0.262939453125,0,3
1859,26,-0.85791015625,-0.4228515625,0.19921875,0,3
1949,27,-0.8349609375,-0.18017578125,0.1015625,0,3
1987,28,-0.995849609375,-0.3603515625,0.111083984375,0,3
2084,29,-0.7470703125,-0.248046875,0.20458984375,0,3
2129,30,-0.986083984375,-0.472412109375,0.179931640625,0,3
2154,31,-0.986083984375,-0.472412109375,0.179931640625,0,3
2204,32,-0.935546875,-0.478271484375,0.2109375,0,3
2268,33,-0.94140625,-0.4716796875,0.265625,0,3
2292,34,-0.781494140625,-0.363525390625,0.239501953125,0,3
2333,35,-0.799560546875,-0.34521484375,0.2626953125,0,3
2377,36,-0.945556640625,-0.33447265625,0.236083984375,0,3
2426,37,-0.924560546875,-0.29931640625,0.2685546875,0,3
2502,38,-125634765625,-0.429443359375,0.251708984375,0,3
2565,39,-1218017578125,-0.370849609375,0.259033203125,0,3
2611,40,-1219482421875,-0.420654296875,0.1982421875,0,3
2673,41,-1132568359375,-0.468505859375,0.102783203125,0,3
2728,42,-0.809814453125,-0.30517578125,0.09033203125,0,3
2774,43,-0.81103515625,-0.283935546875,0.07080078125,0,3
2820,44,-0.885986328125,-0.336669921875,0.00048828125,0,3
2858,45,-0.89697265625,-0.412353515625,0.023681640625,0,3
2872,46,-0.89697265625,-0.412353515625,0.023681640625,0,3
2885,47,-0.89697265625,-0.412353515625,0.023681640625,0,3
2893,48,-0.89697265625,-0.412353515625,0.023681640625,0,3
2938,49,-102099609375,-0.4755859375,0.01171875,0,3
3074,50,-0.96240234375,-0.35595703125,0.107421875,0,3
3119,51,-0.896484375,-0.513427734375,0.1943359375,0,3
3177,52,-0.81689453125,-0.549072265625,0.2744140625,0,3
3212,53,-0.594970703125,-0.490478515625,0.238037109375,0,3
3230,54,-0.594970703125,-0.490478515625,0.238037109375,0,3
3257,55,-0.59521484375,-0.42236328125,0.2841796875,0,3
3301,56,-0.666748046875,-0.429931640625,0.3056640625,0,3
3386,57,-107763671875,-0.40283203125,0.16259765625,0,3
3425,58,-137744140625,-0.423828125,0.225341796875,0,3
3451,59,-1109619140625,-0.517333984375,0.26708984375,0,3
3481,60,-1109619140625,-0.517333984375,0.26708984375,0,3
3506,61,-0.906982421875,-0.477294921875,0.19921875,0,3
3530,62,-0.906982421875,-0.477294921875,0.19921875,0,3
3550,63,-0.789306640625,-0.351318359375,0.277587890625,0,3
