"% TimeStamp"," Sample No"," X-Axis"," Y-Axis"," Z-Axis"," Sensor Type"," Sensor ID","NA"
13,0,"-0.937744140625","-0.356201171875","0.163818359375",0,3,NA
358,1,"-0.8720703125","-0.3662109375","0.1640625",0,3,NA
402,2,"-0.86865234375","-0.37255859375","0.1640625",0,3,NA
476,3,"-0.869873046875","-0.349609375","0.17041015625",0,3,NA
561,4,"-0.85986328125","-0.353515625","0.1748046875",0,3,NA
587,5,"-0.86083984375","-0.40478515625","0.16845703125",0,3,NA
610,6,"-0.86083984375","-0.40478515625","0.16845703125",0,3,NA
668,7,"-0.867431640625","-0.3583984375","0.16748046875",0,3,NA
776,8,"-0.873046875","-0.355224609375","0.160400390625",0,3,NA
855,9,"-0.93896484375","-0.362060546875","0.1708984375",0,3,NA
914,10,"-0.861572265625","-0.34716796875","0.16650390625",0,3,NA
966,11,"-0.943359375","-0.3486328125","0.159423828125",0,3,NA
1019,12,"-0.947265625","-0.4052734375","0.171630859375",0,3,NA
1042,13,"-0.937744140625","-0.40185546875","0.168212890625",0,3,NA
1081,14,"-0.864501953125","-0.39892578125","0.16748046875",0,3,NA
1194,15,"-0.943115234375","-0.35107421875","0.21826171875",0,3,NA
1225,16,"-0.948486328125","-0.349853515625","0.16943359375",0,3,NA
1243,17,"-0.948486328125","-0.349853515625","0.16943359375",0,3,NA
1256,18,"-0.948486328125","-0.349853515625","0.16943359375",0,3,NA
1269,19,"-0.953857421875","-0.356689453125","0.215576171875",0,3,NA
1286,20,"-0.953857421875","-0.356689453125","0.215576171875",0,3,NA
1300,21,"-0.953857421875","-0.356689453125","0.215576171875",0,3,NA
1314,22,"-0.951171875","-0.346923828125","0.16845703125",0,3,NA
1334,23,"-0.951171875","-0.346923828125","0.16845703125",0,3,NA
1354,24,"-0.951171875","-0.346923828125","0.16845703125",0,3,NA
1377,25,"-0.861572265625","-0.39892578125","0.165771484375",0,3,NA
1425,26,"-0.86767578125","-0.39990234375","0.177001953125",0,3,NA
1502,27,"-0.941162109375","-0.344970703125","0.17724609375",0,3,NA
1589,28,"-0.95166015625","-0.401123046875","0.17333984375",0,3,NA
