"% TimeStamp"," Sample No"," X-Axis"," Y-Axis"," Z-Axis"," Sensor Type"," Sensor ID","NA"
169,0,"-0.943603515625","-0.453125","0.171630859375",0,3,NA
219,1,"-0.9619140625","-0.36083984375","0.25341796875",0,3,NA
251,2,"-0.9619140625","-0.36083984375","0.25341796875",0,3,NA
274,3,"-0.9619140625","-0.36083984375","0.25341796875",0,3,NA
398,4,"-0.9423828125","-0.355224609375","0.260986328125",0,3,NA
428,5,"-0.9423828125","-0.355224609375","0.260986328125",0,3,NA
450,6,"-0.947998046875","-0.359130859375","0.275634765625",0,3,NA
466,7,"-0.947998046875","-0.359130859375","0.275634765625",0,3,NA
494,8,"-0.95166015625","-0.35595703125","0.25048828125",0,3,NA
538,9,"-0.938720703125","-0.405029296875","0.18408203125",0,3,NA
605,10,"-0.869384765625","-0.404541015625","0.173095703125",0,3,NA
688,11,"-0.947998046875","-0.3916015625","0.168701171875",0,3,NA
713,12,"-0.947998046875","-0.3916015625","0.168701171875",0,3,NA
748,13,"-0.94921875","-0.388671875","0.170654296875",0,3,NA
784,14,"-0.86767578125","-0.392333984375","0.15966796875",0,3,NA
832,15,"-0.85498046875","-0.39111328125","0.16357421875",0,3,NA
887,16,"-0.870849609375","-0.387451171875","0.172119140625",0,3,NA
931,17,"-0.94384765625","-0.382568359375","0.183349609375",0,3,NA
986,18,"-0.9501953125","-0.305419921875","0.1826171875",0,3,NA
1035,19,"-0.951171875","-0.34375","0.217529296875",0,3,NA
1081,20,"-0.966552734375","-0.313720703125","0.214111328125",0,3,NA
1130,21,"-0.911865234375","-0.336181640625","0.210693359375",0,3,NA
1199,22,"-0.958984375","-0.319580078125","0.11572265625",0,3,NA
1240,23,"-0.963134765625","-0.244140625","0.12353515625",0,3,NA
1282,24,"-0.9111328125","-0.227294921875","0.094970703125",0,3,NA
1359,25,"-0.922607421875","-0.222412109375","0.1552734375",0,3,NA
1399,26,"-101.513.671.875","-0.25146484375","0.10205078125",0,3,NA
1483,27,"-0.90673828125","-0.17333984375","0.197509765625",0,3,NA
1551,28,"-0.96142578125","-0.210693359375","0.216552734375",0,3,NA
1616,29,"-0.908935546875","-0.10791015625","0.216796875",0,3,NA
1681,30,"-0.8017578125","-0.135009765625","0.203125",0,3,NA
1762,31,"-0.757568359375","-0.140869140625","0.129150390625",0,3,NA
1796,32,"-0.757568359375","-0.140869140625","0.129150390625",0,3,NA
1858,33,"-0.85302734375","-0.080078125","0.027587890625",0,3,NA
1952,34,"-1.024.169.921.875","0.074951171875","-0.145751953125",0,3,NA
2005,35,"-0.98583984375","-0.082275390625","-0.124267578125",0,3,NA
2040,36,"-0.98583984375","-0.082275390625","-0.124267578125",0,3,NA
2090,37,"-0.953369140625","-0.010009765625","-0.255615234375",0,3,NA
2121,38,"-1.001.220.703.125","-0.01171875","-0.25927734375",0,3,NA
2187,39,"-1.107.177.734.375","0.2099609375","-0.242919921875",0,3,NA
2218,40,"-1.107.177.734.375","0.2099609375","-0.242919921875",0,3,NA
2245,41,"-1.167.724.609.375","0.29150390625","-0.505126953125",0,3,NA
2273,42,"-1.167.724.609.375","0.29150390625","-0.505126953125",0,3,NA
2317,43,"-1.071.533.203.125","0.276611328125","-0.03515625",0,3,NA
2383,44,"-0.9375","-0.162109375","0.1318359375",0,3,NA
2425,45,"-0.86083984375","-0.109619140625","-0.140625",0,3,NA
2456,46,"-1.127.197.265.625","-0.1416015625","0.1337890625",0,3,NA
2495,47,"-1.066.162.109.375","-0.178466796875","0.19921875",0,3,NA
2527,48,"-1.066.162.109.375","-0.178466796875","0.19921875",0,3,NA
2562,49,"-0.79296875","-0.115478515625","-0.209716796875",0,3,NA
2593,50,"-100.537.109.375","-0.106201171875","-0.101318359375",0,3,NA
2634,51,"-1.146.240.234.375","-0.138671875","-0.001220703125",0,3,NA
2733,52,"-0.915283203125","-0.228759765625","0.14990234375",0,3,NA
2768,53,"-0.915283203125","-0.228759765625","0.14990234375",0,3,NA
2796,54,"-0.949462890625","-0.389892578125","0.224609375",0,3,NA
2835,55,"-0.847412109375","-0.45556640625","0.2841796875",0,3,NA
2880,56,"-0.8837890625","-0.529541015625","0.28173828125",0,3,NA
2981,57,"-0.7470703125","-0.549072265625","0.242919921875",0,3,NA
3106,58,"-0.817138671875","-0.625244140625","0.384521484375",0,3,NA
3170,59,"-0.658203125","-0.479736328125","0.360107421875",0,3,NA
3236,60,"-0.890625","-0.716064453125","0.297607421875",0,3,NA
3260,61,"-0.890625","-0.716064453125","0.297607421875",0,3,NA
3294,62,"-0.733154296875","-0.5947265625","0.355712890625",0,3,NA
3324,63,"-0.713623046875","-0.609130859375","0.378662109375",0,3,NA
3350,64,"-0.713623046875","-0.609130859375","0.378662109375",0,3,NA
3383,65,"-0.70458984375","-0.71875","0.38232421875",0,3,NA
3416,66,"-0.69091796875","-0.61962890625","0.349609375",0,3,NA
3447,67,"-0.69091796875","-0.61962890625","0.349609375",0,3,NA
3523,68,"-0.711181640625","-0.630126953125","0.3642578125",0,3,NA
3622,69,"-0.705322265625","-0.6923828125","0.383544921875",0,3,NA
3721,70,"-0.66845703125","-0.71826171875","0.400390625",0,3,NA
3763,71,"-0.669921875","-0.697998046875","0.384033203125",0,3,NA
3792,72,"-0.669921875","-0.697998046875","0.384033203125",0,3,NA
3904,73,"-0.7705078125","-0.618896484375","0.447265625",0,3,NA
3941,74,"-0.7705078125","-0.618896484375","0.447265625",0,3,NA
4036,75,"-0.775146484375","-0.380126953125","0.854736328125",0,3,NA
4150,76,"-0.6513671875","-0.473876953125","0.30126953125",0,3,NA
4235,77,"-0.71044921875","-0.5751953125","0.358154296875",0,3,NA
